country,continent,total_confirmed,total_deaths,total_recovered,active_cases,serious_or_critical,total_cases_per_1m_population,total_deaths_per_1m_population,total_tests,total_tests_per_1m_population,population
Afghanistan,Asia,55940,2454.0,49499.0,3987.0,1087.0,1415,62.0,316250.0,8000.0,39530512
Albania,Europe,115442,2002.0,78259.0,35181.0,46.0,40145,696.0,496754.0,172747.0,2875614
Algeria,Africa,114851,3028.0,79556.0,32267.0,19.0,2587,68.0,,,44396169
Andorra,Europe,11130,112.0,10708.0,310.0,17.0,143890,1448.0,193595.0,2502812.0,77351
Angola,Africa,21205,517.0,19827.0,861.0,10.0,632,15.0,405695.0,12087.0,33565303
Anguilla,North America,18,,18.0,0.0,,1192,,9742.0,645337.0,15096
Antigua And Barbuda,North America,937,25.0,530.0,382.0,45.0,9514,254.0,16075.0,163215.0,98490
Argentina,South America,2177898,53493.0,1968462.0,155943.0,3438.0,47884,1176.0,7887278.0,173413.0,45482534
Armenia,Asia,177104,3243.0,165718.0,8143.0,,59690,1093.0,765879.0,258125.0,2967085
Aruba,North America,8272,77.0,7974.0,221.0,11.0,77251,719.0,111433.0,1040652.0,107080
Australia,Australia/Oceania,29102,909.0,26222.0,1971.0,,1132,35.0,14833456.0,577082.0,25704223
Austria,Europe,484916,8798.0,450862.0,25256.0,329.0,53629,973.0,5878826.0,650170.0,9041987
Azerbaijan,Asia,238383,3262.0,230244.0,4877.0,,23365,320.0,2682116.0,262891.0,10202372
Bahamas,North America,8642,185.0,7483.0,974.0,1.0,21832,467.0,70352.0,177727.0,395842
Bahrain,Asia,129081,478.0,122416.0,6187.0,58.0,74102,274.0,3259914.0,1871432.0,1741936
Bangladesh,Asia,554156,8502.0,507920.0,37734.0,,3342,51.0,4216028.0,25425.0,165823454
Barbados,North America,3372,37.0,3060.0,275.0,,11724,129.0,132108.0,459316.0,287619
Belarus,Europe,298960,2070.0,289622.0,7268.0,,31645,219.0,5048874.0,534433.0,9447165
Belgium,Europe,798108,22370.0,54044.0,721694.0,452.0,68657,1924.0,9954558.0,856337.0,11624575
Belize,North America,12359,316.0,11972.0,71.0,2.0,30698,785.0,89853.0,223183.0,402597
Benin,Africa,6501,81.0,5552.0,868.0,35.0,527,7.0,520466.0,42174.0,12340882
Bermuda,North America,732,12.0,692.0,28.0,,11784,193.0,180543.0,2906452.0,62118
Bhutan,Asia,868,1.0,866.0,1.0,,1116,1.0,554773.0,713555.0,777478
Bolivia,South America,257240,11903.0,202216.0,43121.0,71.0,21832,1010.0,783751.0,66516.0,11782882
Bosnia And Herzegovina,Europe,140990,5410.0,119904.0,15676.0,,43161,1656.0,702920.0,215183.0,3266615
Botswana,Africa,34098,424.0,28882.0,4792.0,1.0,14301,178.0,856135.0,359075.0,2384279
Brazil,South America,11284269,273124.0,9958566.0,1052579.0,8318.0,52828,1279.0,28600000.0,133892.0,213605166
British Virgin Islands,North America,153,1.0,131.0,21.0,,5038,33.0,13223.0,435397.0,30370
Brunei Darussalam,Asia,192,3.0,183.0,6.0,,436,7.0,108546.0,246485.0,440375
Bulgaria,Europe,272700,11094.0,221783.0,39823.0,502.0,39453,1605.0,1809772.0,261830.0,6912019
Burkina Faso,Africa,12275,143.0,11905.0,227.0,,576,7.0,,,21295953
Burundi,Africa,2396,3.0,773.0,1620.0,,197,,90019.0,7419.0,12133096
Cabo Verde,Africa,15932,155.0,15275.0,502.0,23.0,28442,277.0,125300.0,223686.0,560159
Cambodia,Asia,1225,1.0,619.0,605.0,,73,,555192.0,32893.0,16878593
Cameroon,Africa,40622,601.0,35261.0,4760.0,53.0,1505,22.0,905000.0,33520.0,26999161
Canada,North America,899757,22371.0,846714.0,30672.0,549.0,23696,589.0,25542543.0,672685.0,37971008
Caribbean Netherlands,North America,659,6.0,489.0,164.0,,24970,227.0,7429.0,281487.0,26392
Cayman Islands,North America,463,2.0,430.0,31.0,,6988,30.0,76272.0,1151189.0,66255
Central African Republic,Africa,5023,63.0,4920.0,40.0,2.0,1028,13.0,37104.0,7591.0,4887597
Chad,Africa,4246,151.0,3760.0,335.0,,254,9.0,,,16748552
Channel Islands,Europe,4043,86.0,3955.0,2.0,1.0,23107,492.0,388235.0,2218853.0,174971
Chile,South America,873512,21362.0,821294.0,30856.0,1910.0,45425,1111.0,9916911.0,515708.0,19229693
China Hong Kong Sar,Asia,11151,203.0,10694.0,254.0,13.0,1479,27.0,9296529.0,1233116.0,7539057
China Macao Sar,Asia,48,,47.0,1.0,,73,,4369.0,6666.0,655442
China,Asia,90027,4636.0,85209.0,182.0,,63,3.0,160000000.0,111163.0,1439323776
Colombia,South America,2290539,60858.0,2191171.0,38510.0,1982.0,44687,1187.0,11870511.0,231585.0,51257626
Comoros,Africa,3615,146.0,3434.0,35.0,,4097,165.0,,,882332
Congo,Africa,9329,131.0,7514.0,1684.0,,1663,23.0,92500.0,16485.0,5611274
Costa Rica,North America,207832,2848.0,188151.0,16833.0,139.0,40542,556.0,717791.0,140022.0,5126283
Cote D Ivoire,Africa,36511,209.0,33128.0,3174.0,,1361,8.0,452430.0,16865.0,26826399
Croatia,Europe,248838,5635.0,238914.0,4289.0,79.0,60876,1379.0,1410383.0,345036.0,4087646
Cuba,North America,59157,361.0,54084.0,4712.0,80.0,5225,32.0,2594515.0,229161.0,11321815
Curacao,North America,4915,22.0,4688.0,205.0,5.0,29868,134.0,54251.0,329677.0,164558
Cyprus,Asia,38496,236.0,2057.0,36203.0,36.0,31725,194.0,2420724.0,1994924.0,1213442
Czech Republic,Europe,1376998,22865.0,1191782.0,162351.0,1940.0,128418,2132.0,9390615.0,875764.0,10722763
Democratic Republic Of The Congo,Africa,26759,712.0,22432.0,3615.0,,293,8.0,,,91423823
Denmark,Europe,218660,2384.0,208020.0,8256.0,44.0,37659,411.0,19763559.0,3403788.0,5806342
Djibouti,Africa,6234,63.0,5956.0,215.0,,6247,63.0,119299.0,119549.0,997909
Dominica,North America,151,,138.0,13.0,,2094,,12122.0,168104.0,72110
